代码		    名称		涨幅		现价		当日成交额		3日成交额		5日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额
SZ300590	移为通信	+0.47%		12.91		--		--		--		2.73%		0.92		--		--		--		通信设备	--		--		--		+4.79%		+3.61%		-0.62		443119		827531
SZ300591	万里马		-0.11%		9.49		--		--		--		6.12%		0.44		--		--		--		服装家纺	--		--		--		+3.15%		-5.38%		-0.74		218776		4599803
SZ300592	华凯易佰	+1.38%		11.00		--		--		--		1.91%		0.62		--		--		--		互联网电商	--		--		--		+1.57%		+2.04%		-0.09		71544		1509200
SZ300593	新雷能		+4.44%		34.35		--		--		--		12.22%		1.16		--		--		--		其他电源设备	--		--		--		+36.31%		+29.14%		-2.46		6518656		22577705
SZ300594	朗进科技	+8.63%		21.53		--		--		--		7.24%		2.17		--		--		--		轨交设备	--		--		--		+12.60%		+22.61%		-0.50		153816		822446
SZ300595	欧普康视	+3.31%		16.24		--		--		--		3.86%		1.33		--		--		--		医疗器械	--		--		--		+8.92%		+5.66%		-0.45		1111150		5612544
SZ300596	利安隆		-0.69%		44.79		--		--		--		2.46%		1.15		--		--		--		化学制品	--		--		--		+1.86%		+8.61%		-1.24		213792		1563171
SZ300597	吉大通信	+3.50%		9.46		--		--		--		4.64%		1.29		--		--		--		通信服务	--		--		--		+5.58%		-2.67%		+0.11		53985		493812
SZ300598	诚迈科技	+0.51%		47.50		--		--		--		3.22%		0.98		--		--		--		软件开发	--		--		--		+6.48%		+2.41%		-0.28		1390335		4275000
SZ300599	雄塑科技	+7.57%		9.80		--		--		--		11.66%		0.87		--		--		--		建筑材料	--		--		--		+31.19%		+34.80%		+0.22		1427019		4249280
SZ300600	国瑞科技	+7.13%		15.92		--		--		--		8.64%		2.85		--		--		--		军工装备	--		--		--		+11.10%		+0.76%		-0.87		521442		5046640
SZ300601	康泰生物	+0.65%		15.40		--		--		--		1.03%		0.95		--		--		--		生物制品	--		--		--		+2.26%		+0.00%		+0.00		234136		1529220
SZ300602	飞荣达		-1.08%		32.05		--		--		--		5.87%		0.87		--		--		--		消费电子	--		--		--		+1.46%		+10.52%		+0.46		3001110		4823525
SZ300603	立昂技术	+1.20%		10.12		--		--		--		2.45%		1.24		--		--		--		通信服务	--		--		--		+6.53%		+0.40%		+0.00		159000		720544
SZ300604	长川科技	-1.79%		123.65		--		--		--		7.18%		0.83		--		--		--		半导体		--		--		--		+27.36%		+41.93%		-0.72		59132769	38861340
SZ300605	恒锋信息	+3.61%		16.34		--		--		--		8.85%		1.41		--		--		--		软件开发	--		--		--		+3.16%		-14.63%		-0.13		138600		5145466
SZ300606	金太阳		+3.21%		26.66		--		--		--		17.08%		2.02		--		--		--		通用设备	--		--		--		+21.62%		+20.20%		+1.05		8017920		4620178
SZ300607	拓斯达		+1.68%		32.71		--		--		--		5.84%		0.60		--		--		--		自动化设备	--		--		--		+17.11%		+10.88%		+0.62		3269370		8399928
SZ300608	思特奇		+1.42%		11.39		--		--		--		1.92%		0.89		--		--		--		软件开发	--		--		--		+5.76%		+0.98%		+0.27		271366		1045602
SZ300609	汇纳科技	+1.98%		42.80		--		--		--		4.90%		1.03		--		--		--		IT服务		--		--		--		+19.69%		+7.38%		-0.41		468160		3509600
SZ300610	晨化股份	+0.42%		11.82		--		--		--		1.83%		1.01		--		--		--		化学制品	--		--		--		-1.50%		-4.06%		+0.00		87098		592182
SZ300611	美力科技	+0.21%		28.12		--		--		--		4.95%		0.64		--		--		--		汽车零部件	--		--		--		+7.78%		-0.85%		-0.21		464156		2629220
SZ300612	宣亚国际	-0.05%		18.68		--		--		--		19.44%		0.79		--		--		--		文化传媒	--		--		--		+16.90%		+7.91%		-1.55		2189600		9138256
SZ300613	富瀚微		+0.08%		47.50		--		--		--		1.86%		0.89		--		--		--		半导体		--		--		--		+6.53%		+3.87%		-0.19		412119		1391750
SZ300614	百川畅银	+0.79%		12.68		--		--		--		1.78%		0.90		--		--		--		环境治理	--		--		--		+3.93%		-7.24%		-0.08		160896		1171632
SZ300615	欣天科技	+2.66%		13.88		--		--		--		5.70%		1.75		--		--		--		通信设备	--		--		--		+4.75%		-2.80%		+0.00		86528		362268
SZ300616	尚品宅配	+3.21%		14.14		--		--		--		3.13%		1.20		--		--		--		家居用品	--		--		--		+0.07%		+0.35%		-0.15		90288		315322
SZ300617	安靠智电	+0.60%		33.74		--		--		--		2.23%		0.83		--		--		--		电网设备	--		--		--		+6.94%		+7.49%		+0.45		572730		1585780
SZ300618	寒锐钴业	-2.28%		47.51		--		--		--		5.69%		1.04		--		--		--		能源金属	--		--		--		+6.07%		+7.78%		-1.28		5443200		3644017
SZ300619	金银河		-0.38%		47.21		--		--		--		7.35%		0.96		--		--		--		电池		--		--		--		+4.89%		+0.49%		-0.21		2198985		4390530
SZ300620	光库科技	-3.74%		149.45		--		--		--		7.28%		1.12		--		--		--		通信设备	--		--		--		-7.46%		-11.50%		-1.49		22145712	26482540
SZ300621	维业股份	+2.15%		8.54		--		--		--		2.57%		1.19		--		--		--		建筑装饰	--		--		--		+1.79%		-5.64%		+0.24		162572		402234
SZ300622	博士眼镜	-0.85%		31.53		--		--		--		7.44%		0.60		--		--		--		零售		--		--		--		+5.31%		-0.97%		-1.32		1983216		6181772
SZ300623	捷捷微电	-0.39%		28.28		--		--		--		1.64%		0.94		--		--		--		半导体		--		--		--		+4.39%		+6.44%		-0.35		978834		4866988
SZ300624	万兴科技	+2.27%		75.39		--		--		--		9.38%		1.09		--		--		--		软件开发	--		--		--		+15.36%		+7.85%		+0.38		1938800		7546539
SZ300625	三雄极光	+2.86%		12.24		--		--		--		3.28%		2.77		--		--		--		光学光电子	--		--		--		+3.38%		-1.45%		-0.42		35550		320688
SZ300626	华瑞股份	-1.61%		15.25		--		--		--		7.50%		0.75		--		--		--		电机		--		--		--		+8.62%		+13.13%		-0.32		2068755		1967250
SZ300627	华测导航	+1.91%		41.57		--		--		--		7.15%		0.98		--		--		--		通信设备	--		--		--		+28.86%		+34.14%		-1.81		11837178	17449049
SZ300628	亿联网络	-0.36%		35.93		--		--		--		0.71%		0.67		--		--		--		通信设备	--		--		--		-0.88%		+4.45%		-0.19		813374		1997133
SZ300629	新劲刚		+13.17%		26.47		--		--		--		29.98%		1.93		--		--		--		军工电子	--		--		--		+40.20%		+35.47%		-1.24		882420		12779372
SZ300631	久吾高科	-0.20%		29.85		--		--		--		3.27%		1.05		--		--		--		环保设备	--		--		--		+2.93%		+3.36%		-1.07		1461746		722370
SZ300632	光莆股份	+2.83%		15.64		--		--		--		11.51%		1.09		--		--		--		光学光电子	--		--		--		+12.68%		-5.33%		+1.97		4300923		3185868
SZ300633	开立医疗	+0.59%		28.85		--		--		--		1.42%		0.89		--		--		--		医疗器械	--		--		--		+9.74%		+7.93%		-0.10		108870		1122265
SZ300634	彩讯股份	+2.47%		26.55		--		--		--		4.87%		1.29		--		--		--		IT服务		--		--		--		+10.40%		+6.93%		+0.35		2906800		5421510
SZ300635	中达安		+0.37%		16.16		--		--		--		4.30%		1.76		--		--		--		建筑装饰	--		--		--		-0.74%		-4.94%		-0.12		12864		601152
SZ300636	同和药业	+0.92%		7.69		--		--		--		1.37%		0.99		--		--		--		化学制药	--		--		--		-0.77%		-4.23%		-0.39		60720		256077
SZ300637	扬帆新材	-2.18%		12.58		--		--		--		5.75%		1.24		--		--		--		化学制品	--		--		--		+4.83%		+3.88%		-1.32		963171		1498278
SZ300638	广和通		+2.24%		30.06		--		--		--		9.33%		0.92		--		--		--		通信设备	--		--		--		+12.37%		+0.87%		+1.02		6064740		13319406
SZ300639	凯普生物	+1.98%		5.66		--		--		--		1.25%		0.96		--		--		--		医疗器械	--		--		--		+3.10%		-1.39%		-0.36		110600		490156
SZ300640	德艺文创	+1.78%		8.02		--		--		--		16.50%		1.09		--		--		--		家居用品	--		--		--		-11.38%		-9.99%		+1.52		4768000		4269848
SZ300641	正丹股份	+0.99%		18.35		--		--		--		1.35%		1.05		--		--		--		化学制品	--		--		--		+4.74%		+1.05%		-0.33		485348		1490020
SZ300642	透景生命	+2.92%		19.77		--		--		--		5.98%		1.62		--		--		--		医疗器械	--		--		--		+5.38%		+4.77%		-0.47		187376		1524267
SZ300643	万通智控	+2.50%		19.69		--		--		--		3.08%		1.09		--		--		--		汽车零部件	--		--		--		+4.85%		+4.46%		-0.31		459600		960872
SZ300644	南京聚隆	+1.26%		37.05		--		--		--		6.74%		0.84		--		--		--		塑料制品	--		--		--		+9.71%		+13.62%		-0.36		1206826		1530165
SZ300645	正元智慧	+1.39%		19.00		--		--		--		2.55%		0.86		--		--		--		计算机设备	--		--		--		+6.74%		+3.49%		+0.85		415800		944300
SZ300647	超频三		+6.93%		7.25		--		--		--		20.30%		5.90		--		--		--		消费电子	--		--		--		+9.02%		-2.95%		+0.15		1874719		4524000
SZ300648	星云股份	+0.00%		55.88		--		--		--		6.46%		1.06		--		--		--		电池		--		--		--		-0.78%		+8.53%		-1.06		492081		3509264
SZ300649	杭州园林	+3.96%		14.69		--		--		--		5.20%		2.02		--		--		--		建筑装饰	--		--		--		+3.60%		-1.41%		-0.21		167790		534716
SZ300650	太龙股份	+3.58%		17.67		--		--		--		7.20%		1.60		--		--		--		其他电子	--		--		--		+7.48%		-5.31%		-0.47		1083324		2268828
SZ300651	金陵体育	+0.09%		21.12		--		--		--		4.43%		0.84		--		--		--		家居用品	--		--		--		+1.05%		-7.25%		+0.47		663560		1014478
SZ300652	雷迪克		-0.24%		61.70		--		--		--		6.66%		0.60		--		--		--		汽车零部件	--		--		--		+21.94%		+16.97%		+0.18		4163712		9353720
SZ300653	正海生物	+1.16%		21.00		--		--		--		1.49%		0.97		--		--		--		医疗器械	--		--		--		+2.94%		-0.47%		+0.00		74736		747600
SZ300654	世纪天鸿	+3.43%		10.24		1.76亿		--		--		4.94%		0.91		36.07亿		--		--		文化传媒	【AIGC概念;文化传媒概念;在线教育;ChatGPT概念;AI语料;AI智能体;职业教育;人工智能;三胎概念】	--		--		+9.64%		+2.50%		-0.30		527058		1902592
SZ300655	晶瑞电材	-0.57%		19.08		36.78亿		--		--		17.72%		1.88		203.48亿	--		--		电子化学品	【光刻胶;中芯国际概念;国家大基金持股;存储芯片;OLED;芯片概念;无人驾驶;宁德时代概念;比亚迪概念;锂电池概念;融资融券;深股通】	--		--		+9.15%		+14.94%		+1.51		47993714	25832030
SZ300656	民德电子	-0.13%		22.80		6185.73万	--		--		2.04%		0.87		30.30亿		--		--		其他电子	【机器视觉;传感器;无人驾驶;人工智能;粤港澳大湾区;电子身份证;华为概念;无人机;比亚迪概念;海峡两岸;芯片概念;储能;汽车芯片;第三代半导体;光伏概念;特高压】	--		--		+2.70%		+7.09%		-0.13		690840		1119480
SZ300657	弘信电子	+0.71%		29.83		5.90亿		--		--		4.20%		0.99		140.53亿	--		--		元件		【AI PC;AI手机;英伟达概念;共封装光学(CPO);华为手机;无线耳机;AI眼镜;PCB概念;液冷服务器;汽车电子;智能穿戴;消费电子概念;新型烟草(电子烟);MiniLED;东数西算(算力);小米概念;数据中心;算力租赁;虚拟现实;柔性屏(折叠屏);华为概念;传感器;智谱AI;元宇宙;云计算;抖音概念(字节概念);阿里巴巴概念;无人机;机器人概念;卫星导航;小米汽车;宁德时代概念;福建自贸区;新能源汽车;商业航天;海峡两岸;DeepSeek概念;军工;智能医疗;储能;深股通;融资融券】	--		--		+9.19%		-2.68%		-0.37		2520154		4907035
SZ300658	延江股份	--		--		0.00		--		--		0.00%		0.00		33.42亿		--		--		美容护理	【海峡两岸;福建自贸区;三胎概念;人民币贬值受益】	--		--		+23.91%		+24.64%		--		--		--
SZ300659	中孚信息	+2.73%		15.81		2.24亿		--		--		7.47%		1.42		30.09亿		--		--		计算机设备	【华为鲲鹏;智慧政务;网络安全;华为昇腾;数据安全;军工信息化;信创;数据确权;鸿蒙概念;数字经济;DeepSeek概念;车联网(车路协同);低空经济;军工;芯片概念】	--		--		+1.54%		-13.18%		-0.26		996215		2543876
SZ300660	江苏雷利	-0.30%		54.02		5.21亿		--		--		2.16%		0.56		241.35亿	--		--		电机		【减速器;人形机器人;汽车热管理;机器人概念;比亚迪概念;新能源汽车;液冷服务器;无人驾驶;芯片概念;华为概念;数据中心;物联网;宁德时代概念;军工;军民融合;家用电器;储能;一带一路;深股通;融资融券】	--		--		+11.08%		+7.10%		-0.33		1339200		10171966
SZ300661	圣邦股份	-1.53%		72.76		12.07亿		--		--		2.78%		0.84		431.28亿	--		--		半导体		【汽车芯片;芯片概念;OLED;无线耳机;消费电子概念;传感器;专精特新;人工智能;锂电池概念;融资融券;深股通】	--		--		+11.61%		+7.94%		-0.43		13356707	10805078
SZ300662	科锐国际	+1.29%		26.60		9619.96万	--		--		1.85%		0.95		52.21亿		--		--		其他社会服务	【财税数字化;职业教育;数据要素;京津冀一体化;AI智能体;DeepSeek概念;人工智能;雄安新区;华为概念;深股通】	--		--		+6.87%		+5.01%		-0.80		54705		367080
SZ300663	科蓝软件	+1.02%		18.73		5.25亿		--		--		6.11%		1.26		85.70亿		--		--		软件开发	【华为盘古;电子身份证;数字货币;跨境支付(CIPS);华为欧拉;移动支付;Web3.0;华为鲲鹏;财税数字化;数据安全;信创;数据确权;云计算;华为昇腾;蚂蚁集团概念;区块链;鸿蒙概念;互联网金融;AI智能体;智谱AI;网络安全;百度概念;数据要素;数字经济;数字乡村;DeepSeek概念;智慧城市;腾讯概念;阿里巴巴概念;人工智能;虚拟数字人;量子科技;东数西算(算力);物联网;华为概念;化债概念(AMC概念);京津冀一体化;创投;数据中心;无人零售;乡村振兴;小米概念;芯片概念;脑机接口;商业航天;深股通;融资融券】	--		--		+9.66%		+9.60%		-1.29		2047770		8387125
SZ300664	鹏鹞环保	+0.37%		5.47		6577.67万	--		--		1.60%		1.13		41.15亿		--		--		环境治理	【装配式建筑;净水概念;PPP概念;医疗废物处理;污水处理;固废处理;垃圾分类;水利;生物疫苗】	--		--		+1.67%		-2.84%		+0.00		347165		1301313
SZ300665	飞鹿股份	-1.59%		9.28		1.18亿		--		--		5.82%		0.70		20.24亿		--		--		化学制品	【地下管网;新型城镇化;光伏建筑一体化;有机硅概念;高铁;水利;光伏概念;风电;专精特新;一带一路;农业种植;新能源汽车;核电;股权转让(并购重组)】	--		--		-6.07%		-4.82%		-0.53		311416		1097824
SZ300666	江丰电子	+1.34%		112.28		21.57亿		--		--		8.63%		1.10		248.32亿	--		--		半导体		【中芯国际概念;光刻机;存储芯片;OLED;第三代半导体;芯片概念;光伏概念;碳纤维;深股通;共同富裕示范区;海峡两岸;融资融券】	--		--		+17.39%		+28.03%		-0.72		10065000	24140200
SZ300667	必创科技	+3.37%		18.40		2.20亿		--		--		6.95%		1.67		31.76亿		--		--		通用设备	【商业航天;量子科技;军工;安防;低空经济;物联网;海工装备;传感器;食品安全;专精特新;虚拟现实;数字经济;水利;智能电网;工业互联网;机器人概念;数据中心;芯片概念;新型工业化;可控核聚变;光伏概念;消费电子概念;光纤概念;第三代半导体;医美概念】	--		--		+7.23%		+8.36%		-0.28		159750		2541040
SZ300668	杰恩设计	-2.22%		29.92		2.43亿		--		--		8.02%		0.82		29.83亿		--		--		建筑装饰	【ERP概念;数据确权;新型城镇化;华为概念;AIGC概念;股权转让(并购重组)】	--		--		+44.05%		+55.11%		+1.47		1459350		2734688
SZ300669	沪宁股份	+2.89%		26.38		5191.25万	--		--		1.09%		1.82		48.14亿		--		--		专用设备	【专精特新;深股通】	--		--		+2.73%		-1.93%		-0.35		81760		590912
SZ300670	大烨智能	+1.42%		7.14		8527.37万	--		--		5.33%		0.59		16.04亿		--		--		电网设备	【电力物联网;智能电网;光伏建筑一体化;储能;海工装备;绿色电力;工业互联网;风电;碳纤维】	--		--		-10.19%		-10.53%		+0.00		74624		354858
SZ300671	富满微		+1.10%		33.87		1.50亿		--		--		2.01%		1.03		74.77亿		--		--		半导体		【汽车芯片;MCU芯片;第三代半导体;先进封装;无线耳机;芯片概念;WiFi 6;MiniLED;新型烟草(电子烟);5G;毫米波雷达;专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券】	--		--		+6.28%		-2.39%		-0.30		731460		775623
SZ300672	国科微		+3.86%		114.98		25.77亿		--		--		10.97%		1.36		241.85亿	--		--		半导体		【存储芯片;国家大基金持股;汽车芯片;WiFi 6;芯片概念;星闪概念;智能座舱;东数西算(算力);卫星导航;专精特新;机器视觉;物联网;虚拟现实;机器人概念;车联网(车路协同);无人驾驶;鸿蒙概念;人工智能;深股通;股权转让(并购重组);融资融券】	--		--		+12.53%		+13.30%		-3.53		27105840	21225308
SZ300673	佩蒂股份	+1.47%		18.69		1.16亿		--		--		3.83%		1.29		30.27亿		--		--		农产品加工	【宠物经济;人民币贬值受益】	--		--		+0.16%		+5.71%		-0.11		191360		584997
SZ300674	宇信科技	+0.04%		23.50		3.17亿		--		--		1.91%		0.51		165.21亿	--		--		IT服务		【数字货币;跨境支付(CIPS);财税数字化;蚂蚁集团概念;Web3.0;AI智能体;ChatGPT概念;信创;智谱AI;鸿蒙概念;云计算;华为欧拉;互联网金融;百度概念;华为鲲鹏;MLOps概念;区块链;阿里巴巴概念;腾讯概念;数据要素;虚拟数字人;抖音概念(字节概念);DeepSeek概念;人工智能;华为概念;京津冀一体化;创投;数据中心;化债概念(AMC概念);融资融券;深股通】	--		--		+6.09%		+8.70%		-0.47		1447222		1877650
SZ300675	建科院		+2.31%		15.97		6243.88万	--		--		2.68%		1.20		23.42亿		--		--		建筑装饰	【深圳国企改革;房屋检测;新型城镇化;装配式建筑;建筑节能;职业教育;雄安新区;光伏建筑一体化;乡村振兴;国企改革;碳中和;水利;数据要素;智慧城市;区块链;一带一路;粤港澳大湾区;虚拟电厂;智能电网;数据中心】	--		--		+4.04%		-1.78%		+0.51		156900		737814
SZ300676	华大基因	+1.20%		48.04		2.89亿		--		--		1.44%		1.24		199.87亿	--		--		医疗服务	【基因测序;智能医疗;阿尔茨海默概念;医疗器械概念;辅助生殖;数据要素;猴痘概念;区块链;三胎概念;肝炎概念;合成生物;创投;粤港澳大湾区;医药电商;一带一路;深股通;融资融券】	--		--		+6.71%		+7.62%		+0.00		1082316		2065720
SZ300677	英科医疗	-0.05%		39.27		3.56亿		--		--		1.94%		0.77		182.84亿	--		--		医疗器械	【跨境电商;养老概念;医疗器械概念;创投;人民币贬值受益;融资融券;深股通】	--		--		-10.38%		-6.12%		-0.71		1228815		3408636
SZ300678	中科信息	+3.67%		34.72		10.76亿		--		--		10.70%		1.29		101.20亿	--		--		IT服务		【多模态AI;华为鲲鹏;数据安全;AIGC概念;人脸识别;信创;智慧政务;数据要素;网络安全;人工智能;阿里巴巴概念;智慧城市;机器视觉;物联网;安防;数字经济;智能医疗;脑机接口;华为概念;新型工业化;机器人概念;无人驾驶;烟草;医疗器械概念;数据中心;专精特新;军工;比亚迪概念;新型烟草(电子烟);国企改革;西部大开发;AI智能体;锂电池概念;DeepSeek概念;工业互联网;低空经济;融资融券;深股通;中字头股票】	--		--		+17.06%		+12.91%		+1.43		6732854		7918347
SZ300679	电连技术	-0.59%		50.35		3.24亿		--		--		1.80%		0.70		180.83亿	--		--		消费电子	【人形机器人;无人驾驶;新型烟草(电子烟);PCB概念;消费电子概念;小米概念;5G;比亚迪概念;新能源汽车;柔性屏(折叠屏);华为概念;数据中心;物联网;无人机;深股通;融资融券】	--		--		+2.44%		+6.20%		-0.45		776468		3287855
SZ300680	隆盛科技	+2.71%		54.49		8.93亿		--		--		9.48%		0.87		95.81亿		--		--		汽车零部件	【减速器;人形机器人;PEEK材料;汽车热管理;华为汽车;小米汽车;特斯拉概念;飞行汽车(eVTOL);传感器;新能源汽车;机器人概念;比亚迪概念;智能座舱;毫米波雷达;无人驾驶;无人机;燃料电池;低空经济;专精特新;6G概念;商业航天;华为概念;卫星导航;军工;军民融合;氢能源;回购增持再贷款概念;深股通】	--		--		+12.96%		+11.23%		-0.08		5491836		17349616
SZ300681	英搏尔		+1.07%		26.52		3.89亿		--		--		6.54%		1.33		60.14亿		--		--		汽车零部件	【减速器;飞行汽车(eVTOL);长安汽车概念;新能源汽车;粤港澳大湾区;低空经济;智能物流;无人驾驶;同花顺新质50;MCU芯片;深股通;融资融券】	--		--		+10.32%		-2.39%		-2.82		10398696	1991652
SZ300682	朗新集团	+2.50%		16.01		3.91亿		--		--		2.37%		1.10		165.23亿	--		--		IT服务		【阿里巴巴概念;AI智能体;蚂蚁集团概念;华为鲲鹏;区块链;数据要素;人工智能;DeepSeek概念;华为概念;数字经济;物联网;车联网(车路协同);电力物联网;工业互联网;新能源汽车;充电桩;光伏概念;智能电网;碳中和;虚拟电厂;绿色电力;融资融券;深股通】	--		--		+7.52%		+5.33%		-0.32		615015		2401500
SZ300683	海特生物	+0.99%		29.49		8989.31万	--		--		2.49%		0.89		36.00亿		--		--		医疗服务	【重组蛋白;细胞免疫治疗;创新药;仿制药一致性评价;CRO概念;眼科医疗;股权转让(并购重组)】	--		--		+5.66%		-0.77%		+0.00		400040		1291662
SZ300684	中石科技	-1.29%		48.92		6.03亿		--		--		6.01%		0.90		99.95亿		--		--		电子化学品	【共封装光学(CPO);同花顺果指数;富士康概念;AI PC;液冷服务器;苹果概念;无线充电;汽车热管理;5G;消费电子概念;汽车电子;数据中心;2025三季报预增;比亚迪概念;MR(混合现实);小米概念;智能座舱;新能源汽车;石墨烯;储能;光伏概念;华为概念;充电桩;无人机;虚拟现实;一带一路;京津冀一体化;深股通】	--		--		-3.22%		+10.21%		-0.24		1957824		3052608
SZ300685	艾德生物	+1.48%		21.27		1.34亿		--		--		1.62%		1.25		82.87亿		--		--		医疗器械	【基因测序;创新药;医疗器械概念;智能医疗;海峡两岸;福建自贸区;专精特新;深股通;融资融券】	--		--		+4.78%		-3.23%		+0.19		153300		795498
SZ300686	智动力		+2.39%		15.84		1.53亿		--		--		5.71%		1.48		26.88亿		--		--		消费电子	【虚拟现实;柔性屏(折叠屏);智能穿戴;石墨烯;富士康概念;华为概念;消费电子概念;小米概念;比亚迪概念;机器人概念;新能源汽车;OLED;固态电池;回购增持再贷款概念】	--		--		+6.17%		+7.46%		-0.39		47771		1081872
SZ300687	赛意信息	+6.11%		25.20		9.38亿		--		--		11.38%		2.34		82.38亿		--		--		IT服务		【ChatGPT概念;多模态AI;华为盘古;财税数字化;ERP概念;AIGC概念;AI智能体;华为昇腾;华为欧拉;信创;鸿蒙概念;华为鲲鹏;DeepSeek概念;人工智能;华为概念;新型工业化;智能医疗;机器人概念;工业互联网;C2M概念;粤港澳大湾区;创投;PCB概念;宁德时代概念;融资融券;深股通】	--		--		+16.08%		+12.85%		+2.95		14760465	10941840
SZ300688	创业黑马	+2.03%		30.61		4.67亿		--		--		10.31%		1.38		45.42亿		--		--		教育		【智谱AI;Web3.0;ChatGPT概念;智慧政务;财税数字化;云计算;AIGC概念;虚拟数字人;AI智能体;阿里巴巴概念;抖音概念(字节概念);在线教育;区块链;数据要素;元宇宙;算力租赁;数字经济;知识产权保护;东数西算(算力);DeepSeek概念;人工智能;职业教育;独角兽概念;华为概念;创投;股权转让(并购重组);深股通】	--		--		+9.32%		+9.09%		+1.10		6596775		7640256
SZ300689	澄天伟业	+4.95%		50.05		2.35亿		--		--		4.58%		2.85		50.64亿		--		--		通信设备	【消费电子概念;车联网(车路协同);粤港澳大湾区;专精特新;第三代半导体;芯片概念;人民币贬值受益;液冷服务器;深股通】	--		--		+13.83%		+8.97%		+0.02		219420		850850
SZ300690	双一科技	+4.62%		34.87		4.77亿		--		--		12.57%		1.17		38.63亿		--		--		风电设备	【PEEK材料;碳纤维;飞行汽车(eVTOL);军工;风电;3D打印;低空经济;无人机;海工装备;新能源汽车;比亚迪概念;人形机器人;深股通;融资融券】	--		--		+13.69%		+14.97%		+0.03		470094		6827546
SZ300691	联合光电	+0.79%		17.77		9078.48万	--		--		2.32%		1.01		39.23亿		--		--		计算机设备	【车联网(车路协同);安防;智慧城市;元宇宙;物联网;虚拟现实;人工智能;无人驾驶;机器视觉;MicroLED概念;智能座舱;华为概念;智能穿戴;毫米波雷达;无人机;汽车电子;智能物流;AI眼镜;机器人概念;消费电子概念;比亚迪概念;新能源汽车;光刻机;深股通;融资融券】	--		--		+5.02%		+2.13%		-0.51		387634		1162158
SZ300692	中环环保	-0.81%		8.53		6403.32万	--		--		1.82%		0.82		35.07亿		--		--		环境治理	【污水处理;PPP概念;新型城镇化;固废处理;绿色电力;合成生物;燃料电池;股权转让(并购重组)】	--		--		+3.02%		-3.72%		-0.35		202252		2122264
SZ300693	盛弘股份	+1.05%		40.41		6.30亿		--		--		5.76%		1.72		108.64亿	--		--		其他电源设备	【高压快充;宁德时代概念;虚拟电厂;锂电池概念;换电概念;储能;充电桩;数据中心;比亚迪概念;新能源汽车;专精特新;深股通;融资融券】	--		--		+2.07%		+2.69%		-0.50		1193700		5180562
SZ300694	蠡湖股份	+1.00%		12.15		4909.87万	--		--		1.87%		1.00		26.37亿		--		--		汽车零部件	【燃料电池;国企改革;机器人概念;新能源汽车;人形机器人】	--		--		+3.67%		-4.78%		-0.25		57600		541890
SZ300695	兆丰股份	-1.58%		91.73		1.19亿		--		--		1.27%		0.62		93.80亿		--		--		汽车零部件	【人形机器人;机器人概念;长安汽车概念;工业互联网;比亚迪概念;新能源汽车;汽车电子;创投;充电桩;高压快充;深股通】	--		--		+6.70%		+3.23%		+0.00		260960		1027376
SZ300696	爱乐达		+4.62%		31.50		6.60亿		--		--		8.01%		0.76		83.75亿		--		--		军工装备	【成飞概念;军民融合;航空发动机;大飞机;军工;无人机;低空经济;3D打印;创投;西部大开发;融资融券;深股通】	--		--		+18.91%		+19.14%		-1.20		1264375		7078050
SZ300697	电工合金	-0.86%		17.31		2.21亿		--		--		6.33%		0.75		34.88亿		--		--		工业金属	【金属铜;石墨烯;新能源汽车;氢能源;高铁;国企改革;深股通】	--		--		+5.42%		+1.11%		-1.09		474925		3058677
SZ300698	万马科技	-1.51%		45.00		3.08亿		--		--		5.77%		0.79		53.35亿		--		--		通信设备	【网约车;车联网(车路协同);百度概念;无人驾驶;云计算;算力租赁;智能物流;华为昇腾;数据要素;阿里巴巴概念;DeepSeek概念;人工智能;智能医疗;物联网;东数西算(算力);华为概念;卫星导航;数据中心;光纤概念;一带一路;英伟达概念;5G;比亚迪概念;液冷服务器;深股通】	--		--		+6.46%		+11.08%		-0.20		1883280		4225500
SZ300699	光威复材	+8.32%		41.03		34.86亿		--		--		10.47%		1.22		337.04亿	--		--		军工装备	【碳纤维;大飞机;PEEK材料;商业航天;军民融合;低空经济;军工;无人机;高铁;风电;光伏概念;氢能源;体育产业;消费电子概念;深股通;卫星导航;融资融券】	--		--		+36.86%		+34.75%		-1.24		8391063		37160871
SZ300700	岱勒新材	+1.84%		12.75		1.26亿		--		--		3.66%		1.15		34.50亿		--		--		通用设备	【第三代半导体;消费电子概念;专精特新;光伏概念;芯片概念;光刻胶;燃料电池;机器人概念;氢能源;融资融券】	--		--		-1.62%		+2.99%		-0.64		368224		889950
SZ300701	森霸传感	+4.58%		13.69		2.93亿		--		--		8.70%		2.14		34.10亿		--		--		光学光电子	【机器视觉;安防;传感器;物联网;小米概念;智能家居;股权转让(并购重组)】	--		--		+1.26%		+6.54%		-0.61		271909		6133120
SZ300702	天宇股份	+2.63%		25.33		8612.59万	--		--		1.62%		1.34		53.49亿		--		--		化学制药	【医药电商;CRO概念;合成生物;人民币贬值受益;深股通】	--		--		+5.94%		+3.64%		+0.04		59256		407813
